full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
Daichi Kamada,Crystal Palace,Midfielder,50,87.6,0.08,0.09,0.12,0.0,1.78,2.94,1.68,1.51,1.18,1.56,16,29.0,0,13,4,0.06,219,0,9.0,0.1,177.2,243.2,136.0,55.8
Adam Wharton,Crystal Palace,Midfielder,50,93.72,0.04,0.2,0.16,0.04,2.44,2.53,1.68,1.51,1.18,1.56,16,29.0,0,13,14,0.21,237,0,9.0,0.6,379.6,537.3,147.0,106.6
Jean-Philippe Mateta,Crystal Palace,Forward,75,93.62,0.6,0.05,0.09,0.0,2.41,0.38,1.68,1.51,1.18,1.56,16,29.0,0,13,0,0.0,0,1,9.0,6.5,411.8,119.7,664.0,119.4
Jørgen Strand Larsen,Crystal Palace,Forward,61,75.31,0.26,0.03,0.2,0.0,2.04,0.35,1.68,1.51,1.18,1.56,16,29.0,0,13,8,0.4,227,0,9.0,2.1,242.2,163.8,384.0,77.8
Yéremy Pino Santos,Crystal Palace,Midfielder,58,75.21,0.2,0.31,0.2,0.0,1.27,1.58,1.68,1.51,1.18,1.56,16,29.0,0,13,4,0.36,81,0,9.0,0.2,271.0,573.4,318.0,116.0
Kiernan Dewsbury-Hall,Everton,Midfielder,51,92.93,0.15,0.24,0.29,0.0,1.67,1.77,1.3,1.51,0.94,2.17,19,29.0,1,8,19,0.66,268,0,7.0,5.0,431.8,431.9,296.0,116.0
Jordan Pickford,Everton,Goalkeeper,56,100.0,0.0,0.0,0.07,0.0,1.31,0.07,1.3,1.51,0.94,2.17,19,29.0,1,8,9,0.0,270,0,7.0,13.3,683.4,0.2,2.0,68.6
Jarrad Branthwaite,Everton,Defender,53,78.25,0.05,0.02,0.18,0.0,6.06,1.65,1.3,1.51,0.94,2.17,19,29.0,1,8,17,0.1,262,0,7.0,0.4,121.2,31.6,74.0,22.7
James Tarkowski,Everton,Defender,57,100.0,0.07,0.05,0.17,0.0,9.14,1.34,1.3,1.51,0.94,2.17,19,29.0,1,8,19,0.32,270,0,7.0,11.1,746.0,185.6,265.0,120.0
Vitalii Mykolenko,Everton,Defender,49,99.68,0.01,0.03,0.21,0.0,5.65,1.26,1.3,1.51,0.94,2.17,19,29.0,1,8,9,0.0,180,0,7.0,0.6,397.8,283.0,65.0,74.5
Jake O'Brien,Everton,Defender,49,94.56,0.02,0.02,0.08,0.04,4.98,1.83,1.3,1.51,0.94,2.17,19,29.0,1,8,7,0.0,180,0,7.0,0.7,445.6,224.5,126.0,79.9
