full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Yasin Ayari,Brighton,Midfielder,48,89.56,0.11,0.05,0.0,0.0,1.56,1.61,24.0,1.0,12.0
Carlos Baleba,Brighton,Midfielder,45,64.2,0.03,0.01,0.35,0.0,1.56,1.61,24.0,1.0,12.0
Diego Gómez Amarilla,Brighton,Midfielder,49,77.3,0.29,0.09,0.31,0.0,1.56,1.61,24.0,1.0,12.0
Mats Wieffer,Brighton,Midfielder,49,82.15,0.09,0.21,0.3,0.0,1.56,1.61,24.0,1.0,12.0
Danny Welbeck,Brighton,Forward,62,64.95,0.54,0.03,0.28,0.0,1.56,1.61,24.0,1.0,12.0
Pascal Groß,Brighton,Midfielder,55,79.17,0.08,0.31,0.32,0.0,1.56,1.61,24.0,1.0,12.0
Robert Lynch Sánchez,Chelsea,Goalkeeper,49,95.66,0.0,0.04,0.14,0.05,1.94,1.52,24.0,1.0,5.0
Filip Jörgensen,Chelsea,Goalkeeper,43,97.22,0.0,0.0,0.0,0.0,1.94,1.52,24.0,1.0,5.0
Marc Cucurella Saseta,Chelsea,Defender,60,91.22,0.03,0.12,0.21,0.05,1.94,1.52,24.0,1.0,5.0
Reece James,Chelsea,Defender,57,75.91,0.06,0.2,0.24,0.0,1.94,1.52,24.0,1.0,5.0
Trevoh Chalobah,Chelsea,Defender,56,97.47,0.06,0.01,0.14,0.05,1.94,1.52,24.0,1.0,5.0
Malo Gusto,Chelsea,Defender,49,68.94,0.11,0.11,0.07,0.07,1.94,1.52,24.0,1.0,5.0
Benoît Badiashile Mukinayi,Chelsea,Defender,44,67.78,0.0,0.0,0.42,0.0,1.94,1.52,24.0,1.0,5.0
Wesley Fofana,Chelsea,Defender,44,75.0,0.02,0.0,0.22,0.0,1.94,1.52,24.0,1.0,5.0
Tosin Adarabioyo,Chelsea,Defender,40,71.21,0.01,0.05,0.26,0.0,1.94,1.52,24.0,1.0,5.0
Cole Palmer,Chelsea,Midfielder,104,72.5,0.35,0.03,0.23,0.0,1.94,1.52,24.0,1.0,5.0
Pedro Lomba Neto,Chelsea,Midfielder,71,88.16,0.2,0.24,0.1,0.0,1.94,1.52,24.0,1.0,5.0
Enzo Fernández,Chelsea,Midfielder,67,95.51,0.43,0.27,0.24,0.0,1.94,1.52,24.0,1.0,5.0
